N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
33554432,8,0.12983,0.234494,2.24983,2.32712,3.35973,
33554432,16,0.120105,0.199687,2.26513,2.13929,3.14713,
33554432,24,0.247535,0.202766,2.41802,2.07287,3.1773,
33554432,32,0.111695,0.203785,2.65499,1.98343,3.30523,
33554432,40,0.23349,0.210137,2.851,1.97832,3.65587,
33554432,48,0.231296,0.198619,3.155,2.0006,4.00549,
33554432,56,0.233192,0.194545,3.40101,2.01229,4.36371,
33554432,64,0.102684,0.187589,3.68456,1.99643,4.6019,
33554432,72,0.231336,0.181877,3.87466,1.88972,4.80055,
33554432,80,0.229366,0.200719,4.09024,1.87516,5.04548,
33554432,88,0.2313,0.200661,4.11781,1.90112,5.32226,
33554432,96,0.226568,0.20018,4.17378,1.93875,5.61387,
33554432,104,0.228302,0.200899,4.28019,1.98365,5.90786,
33554432,112,0.228114,0.198919,4.4331,2.01596,6.21483,
33554432,120,0.227736,0.198671,4.59728,2.06826,6.65645,
33554432,128,0.100767,0.196673,4.77885,2.11178,7.0536,
33554432,136,0.228494,0.197315,4.94187,2.07585,7.3327,
33554432,144,0.228531,0.19669,5.12857,2.07238,7.67198,
33554432,152,0.22931,0.196708,5.31376,2.08364,8.16516,
33554432,160,0.225949,0.195486,5.50335,2.06362,8.68003,
33554432,168,0.226675,0.195118,5.69615,2.07167,9.17237,
33554432,176,0.224471,0.194644,5.8672,2.07609,9.56348,
33554432,184,0.226719,0.194047,6.01735,2.08564,9.67805,
33554432,192,0.227972,0.192582,6.23187,2.09884,9.99133,
33554432,200,0.228838,0.193146,6.41779,2.10807,10.2662,
33554432,208,0.224588,0.191444,6.57103,2.11035,10.58,
33554432,216,0.224402,0.191063,6.74124,2.11629,10.8566,
33554432,224,0.228035,0.189688,7.04186,2.12221,11.1808,
33554432,232,0.225848,0.189018,7.09379,2.12603,11.3818,
33554432,240,0.243979,0.188774,7.24697,2.12177,11.6484,
33554432,248,0.237141,0.187913,7.49224,2.12528,11.8732,
33554432,256,0.098879,0.190796,7.83256,2.13354,12.2323,
33554432,264,0.224899,0.185387,7.85524,2.10037,12.3398,
33554432,272,0.224695,0.184785,7.92917,2.06197,12.4582,
33554432,280,0.224973,0.183693,8.04532,2.06327,12.5771,
33554432,288,0.225943,0.181988,8.2087,2.03894,12.7639,
33554432,296,0.226201,0.18076,8.42401,2.02147,12.9669,
33554432,304,0.225739,0.17912,8.68338,1.99895,13.2705,
33554432,312,0.228059,0.178059,8.98811,1.98119,13.3489,
33554432,320,0.2249,0.176451,9.36236,1.96223,13.5402,
33554432,328,0.224236,0.195266,9.4599,1.9608,13.7077,
33554432,336,0.22553,0.195983,9.47212,1.96336,13.8523,
33554432,344,0.223862,0.19525,9.48937,1.96483,14.0866,
33554432,352,0.224778,0.196283,9.54624,1.96792,14.4405,
33554432,360,0.223588,0.195376,9.55666,1.97048,14.4745,
33554432,368,0.225046,0.195537,9.64072,1.97319,14.62,
33554432,376,0.224234,0.195537,9.64342,1.98207,14.891,
33554432,384,0.22357,0.194746,9.68967,1.98582,15.2252,
33554432,392,0.225638,0.195201,9.74731,1.99735,15.2592,
33554432,400,0.225849,0.194956,9.80683,1.99924,15.4773,
33554432,408,0.226231,0.19534,9.87371,2.00497,15.6757,
33554432,416,0.22381,0.194848,9.94183,2.00301,15.879,
33554432,424,0.227937,0.195598,10.0173,2.00752,16.0905,
33554432,432,0.227299,0.196053,10.0923,2.00835,16.294,
33554432,440,0.225349,0.194724,10.1715,2.0153,16.5342,
33554432,448,0.225101,0.194798,10.2582,2.0195,16.7332,
33554432,456,0.230973,0.195242,10.3378,2.02294,16.8895,
33554432,464,0.225919,0.194445,10.4266,2.02098,17.1817,
33554432,472,0.224944,0.195373,10.5117,2.03042,17.2811,
33554432,480,0.22467,0.19434,10.6028,2.03262,17.5261,
33554432,488,0.224954,0.194839,10.7083,2.04049,17.8176,
33554432,496,0.225186,0.194865,10.7982,2.04996,18.0211,
33554432,504,0.226467,0.195113,10.8953,2.05467,18.3009,
33554432,512,0.10324,0.191158,10.9887,2.06548,18.9909,
