N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
134217728,8,0.514204,0.967376,9.29248,9.12158,13.7888,
134217728,16,0.464842,0.896201,9.50554,8.33837,12.6435,
134217728,24,0.941872,0.867164,10.1992,7.92322,12.5848,
134217728,32,0.448581,0.848117,11.1581,8.00882,13.982,
134217728,40,0.92776,0.778533,12.6231,7.54626,14.7052,
134217728,48,0.918651,0.836376,13.2242,7.54425,15.707,
134217728,56,0.922583,0.82915,13.9952,7.667,17.1019,
134217728,64,0.407663,0.81953,14.8999,7.77844,18.2741,
134217728,72,0.916136,0.810638,15.9519,7.64468,19.5476,
134217728,80,0.906591,0.815773,16.8964,7.55996,20.9054,
134217728,88,0.899908,0.792849,17.827,7.45819,21.8626,
134217728,96,0.901306,0.767959,18.4654,7.42158,23.0171,
134217728,104,0.903919,0.735043,19.6209,7.35272,24.0169,
134217728,112,0.90515,0.834987,20.365,7.4004,24.6163,
134217728,120,0.903371,0.832849,20.5517,7.49966,25.2781,
134217728,128,0.398546,0.8249,20.772,7.61728,26.9516,
134217728,136,0.90571,0.828926,21.14,7.58433,27.84,
134217728,144,0.901136,0.824649,21.5313,7.61902,29.1902,
134217728,152,0.90472,0.825846,21.9962,7.60944,30.0868,
134217728,160,0.895397,0.829867,22.4948,7.63438,31.1275,
134217728,168,0.899809,0.828787,23.1518,7.69253,32.5082,
134217728,176,0.887423,0.819594,23.6884,7.69722,33.5918,
134217728,184,0.892324,0.819043,24.3571,7.75516,35.4304,
134217728,192,0.898541,0.819375,25.0828,7.77568,37.0051,
134217728,200,0.888636,0.815579,25.7592,7.87371,38.6352,
134217728,208,0.893833,0.814135,26.4784,7.92745,40.1618,
134217728,216,0.892665,0.812683,27.1637,7.96599,41.3182,
134217728,224,0.902153,0.811167,27.967,8.0068,42.9903,
134217728,232,0.894909,0.810654,28.629,8.07137,43.5373,
134217728,240,0.900924,0.818821,29.4226,8.13846,44.8526,
134217728,248,0.897029,0.808257,30.0853,8.1824,46.4177,
134217728,256,0.387902,0.798479,30.9677,8.2068,47.2081,
134217728,264,0.897122,0.803006,31.5121,8.1649,48.533,
134217728,272,0.895627,0.802827,32.2441,8.1598,49.8636,
134217728,280,0.89805,0.80108,33.1454,8.11608,50.9075,
134217728,288,0.891084,0.799647,33.6382,8.07958,51.9509,
134217728,296,0.896301,0.796785,34.5457,8.05937,52.7899,
134217728,304,0.901028,0.794322,35.1966,8.03527,53.9708,
134217728,312,0.904222,0.791789,35.7743,8.01771,54.9209,
134217728,320,0.896227,0.793043,36.9309,7.99393,55.9374,
134217728,328,0.903227,0.78889,37.4463,8.00655,57.0031,
134217728,336,0.892974,0.785607,37.8543,7.98681,58.0346,
134217728,344,0.897397,0.782432,38.7,7.95784,58.7274,
134217728,352,0.896197,0.781322,40.0208,7.95547,60.1769,
134217728,360,0.891534,0.777426,40.4658,7.91026,60.6919,
134217728,368,0.899791,0.774396,40.7496,7.88975,62.4274,
134217728,376,0.89457,0.771503,41.2947,7.87854,62.1796,
134217728,384,0.902586,0.768698,42.0245,7.84959,63.0759,
134217728,392,0.891151,0.76569,43.0193,7.88718,64.0737,
134217728,400,0.898312,0.762997,44.2581,7.86201,66.2671,
134217728,408,0.896626,0.758477,45.3748,7.84278,66.2362,
134217728,416,0.900393,0.755473,45.4413,7.82398,66.9897,
134217728,424,0.902558,0.754284,45.649,7.79525,67.8939,
134217728,432,0.899251,0.746999,46.0025,7.79145,67.8643,
134217728,440,0.900278,0.743413,46.3939,7.74847,68.265,
134217728,448,0.896671,0.738006,46.9756,7.73151,68.4715,
134217728,456,0.898525,0.734624,47.6114,7.71384,69.4755,
134217728,464,0.899521,0.730309,48.5537,7.71603,69.9519,
134217728,472,0.898556,0.725941,49.3184,7.67776,70.7054,
134217728,480,0.895413,0.719604,50.3042,7.63263,71.1828,
134217728,488,0.888333,0.716311,51.4448,7.61529,71.8836,
134217728,496,0.894116,0.712109,52.7187,7.59542,73.3598,
134217728,504,0.90046,0.709122,54.1088,7.57296,73.9236,
134217728,512,0.417949,0.81246,55.5508,7.54588,74.9008,
