N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
134217728,8,0.517668,0.910164,9.69444,9.7235,14.6708,
134217728,16,0.468142,0.851057,9.93088,8.88831,13.4932,
134217728,24,0.936031,0.82304,10.5617,8.46272,13.3476,
134217728,32,0.449763,0.789898,11.4359,8.50787,14.7835,
134217728,40,0.922422,0.773214,12.8863,7.98166,15.5377,
134217728,48,0.905731,0.79767,13.5602,8.04807,16.7441,
134217728,56,0.915755,0.794639,14.4311,8.13599,18.1693,
134217728,64,0.405326,0.78293,15.4251,8.22451,19.6179,
134217728,72,0.906475,0.777113,16.4665,8.10794,20.9989,
134217728,80,0.892456,0.780814,17.4707,8.01335,22.3846,
134217728,88,0.899453,0.778221,18.4525,7.95323,23.8274,
134217728,96,0.891223,0.750219,19.1289,7.9226,24.532,
134217728,104,0.916078,0.734644,20.4553,7.84492,25.4406,
134217728,112,0.898672,0.798977,21.2548,7.90078,26.7107,
134217728,120,0.894831,0.795554,21.3682,7.99322,27.4899,
134217728,128,0.398664,0.789002,21.6011,8.15343,29.096,
134217728,136,0.895794,0.790803,21.9505,8.08592,30.1254,
134217728,144,0.886208,0.792869,22.4029,8.08138,31.585,
134217728,152,0.89514,0.789611,22.8852,8.0553,33.1685,
134217728,160,0.884926,0.786682,23.2731,8.06876,34.6113,
134217728,168,0.892522,0.78894,23.9182,8.09585,36.1495,
134217728,176,0.877471,0.784911,24.6086,8.12713,37.7108,
134217728,184,0.883434,0.783243,25.3287,8.16649,39.184,
134217728,192,0.89523,0.780441,26.0206,8.22416,40.6812,
134217728,200,0.883572,0.785384,26.7909,8.2955,42.099,
134217728,208,0.886248,0.783337,27.435,8.34491,43.2437,
134217728,216,0.886196,0.782388,28.2155,8.38391,44.5296,
134217728,224,0.895988,0.778204,28.9641,8.42571,46.1433,
134217728,232,0.884869,0.777376,29.6352,8.47176,47.1925,
134217728,240,0.883346,0.776719,30.3668,8.5268,48.4385,
134217728,248,0.885659,0.77442,31.1558,8.58872,49.7016,
134217728,256,0.388971,0.768312,32.0569,8.63907,51.2424,
134217728,264,0.883722,0.772087,32.6393,8.55742,52.4419,
134217728,272,0.891556,0.772434,33.4705,8.55796,53.587,
134217728,280,0.889567,0.77093,34.3117,8.49299,54.9692,
134217728,288,0.882648,0.776105,34.8004,8.45299,56.045,
134217728,296,0.88674,0.769865,35.7453,8.41221,57.3278,
134217728,304,0.891428,0.764092,36.4205,8.40429,58.3086,
134217728,312,0.893117,0.763228,37.0345,8.38719,59.3983,
134217728,320,0.881465,0.761209,38.373,8.38877,60.9019,
134217728,328,0.887206,0.759349,38.7063,8.39038,61.849,
134217728,336,0.885007,0.761704,39.1792,8.38893,63.5675,
134217728,344,0.887014,0.757332,40.0967,8.36849,64.3446,
134217728,352,0.885531,0.756274,41.3206,8.34542,66.7497,
134217728,360,0.880276,0.751377,41.932,8.31849,66.5121,
134217728,368,0.889005,0.74921,42.2126,8.32954,67.5396,
134217728,376,0.888465,0.751262,42.7582,8.29908,68.6273,
134217728,384,0.890243,0.749107,43.5099,8.28809,69.1466,
134217728,392,0.885631,0.745877,44.622,8.29498,70.9658,
134217728,400,0.890515,0.742857,45.8258,8.30303,71.4871,
134217728,408,0.888284,0.742391,46.9888,8.26111,73.436,
134217728,416,0.888198,0.738576,46.9679,8.23992,72.8988,
134217728,424,0.894538,0.733676,47.2532,8.22322,73.4892,
134217728,432,0.887991,0.730695,47.6203,8.21547,74.3594,
134217728,440,0.887431,0.727685,48.047,8.19068,74.5317,
134217728,448,0.883926,0.726158,48.7606,8.1733,75.6865,
134217728,456,0.893594,0.72389,49.3269,8.16968,76.4374,
134217728,464,0.889133,0.719387,50.1803,8.14032,76.4092,
134217728,472,0.887795,0.719065,51.0195,8.12448,77.0065,
134217728,480,0.886736,0.712345,52.0609,8.10936,78.5786,
134217728,488,0.884472,0.710203,53.2791,8.09837,78.8474,
134217728,496,0.882206,0.708805,54.5577,8.05975,79.7295,
134217728,504,0.889476,0.70443,55.9854,8.05547,80.5986,
134217728,512,0.407594,0.763075,57.4146,8.03602,82.0428,
