N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
134217728,8,0.516756,0.905376,9.24234,9.27266,13.8618,
134217728,16,0.468377,0.82554,9.39822,8.51178,12.6829,
134217728,24,0.933507,0.791147,10.0957,8.13419,12.6987,
134217728,32,0.443491,0.760231,10.9924,8.10755,14.0458,
134217728,40,0.922258,0.737246,12.4993,7.62728,14.7725,
134217728,48,0.909129,0.76216,13.0905,7.69337,15.6794,
134217728,56,0.914511,0.757703,14.2157,7.72858,17.1561,
134217728,64,0.402944,0.746489,14.8715,7.81727,18.2009,
134217728,72,0.908823,0.743276,16.2528,7.70669,19.6297,
134217728,80,0.892709,0.747959,16.9278,7.61405,20.8733,
134217728,88,0.896473,0.738536,17.8522,7.46947,22.0117,
134217728,96,0.900068,0.716319,18.8349,7.4168,22.5675,
134217728,104,0.894864,0.694919,19.9871,7.29971,23.4445,
134217728,112,0.898277,0.761745,20.4425,7.3589,24.4649,
134217728,120,0.893348,0.761165,20.6404,7.49916,25.2728,
134217728,128,0.395864,0.752062,20.8791,7.63328,26.8685,
134217728,136,0.896191,0.757017,21.2505,7.59554,27.4644,
134217728,144,0.893453,0.758545,21.6144,7.57145,28.7393,
134217728,152,0.896183,0.755011,22.4146,7.59063,29.7429,
134217728,160,0.888346,0.751336,22.8558,7.62057,31.4728,
134217728,168,0.893094,0.753461,23.1654,7.66253,32.6741,
134217728,176,0.885333,0.749502,24.0264,7.69468,34.3652,
134217728,184,0.882064,0.749565,24.6995,7.7619,35.3596,
134217728,192,0.889115,0.747994,25.2068,7.80096,36.6955,
134217728,200,0.880186,0.7473,25.8635,7.84025,38.1036,
134217728,208,0.889647,0.745671,26.8786,7.91249,38.9687,
134217728,216,0.882944,0.744196,27.5002,7.95696,40.0842,
134217728,224,0.892108,0.742102,28.2872,7.99625,41.5232,
134217728,232,0.886313,0.746169,28.9506,8.06493,43.2167,
134217728,240,0.884371,0.741034,29.4327,8.10777,43.5293,
134217728,248,0.883349,0.739927,30.4339,8.18584,44.7466,
134217728,256,0.387665,0.73315,31.3252,8.21095,46.5081,
134217728,264,0.886619,0.738027,31.8857,8.18454,47.0514,
134217728,272,0.88433,0.734003,32.3239,8.16432,48.1588,
134217728,280,0.886564,0.73355,33.3009,8.15658,49.3261,
134217728,288,0.881131,0.733066,33.7515,8.08484,50.4096,
134217728,296,0.888831,0.734322,34.983,8.10145,51.3942,
134217728,304,0.892131,0.731745,35.3164,8.05945,52.4511,
134217728,312,0.890441,0.728293,36.168,8.04747,53.4514,
134217728,320,0.886052,0.726417,37.3088,8.04709,54.3792,
134217728,328,0.886533,0.724093,37.6456,8.02378,56.0376,
134217728,336,0.885198,0.726054,38.2527,8.00409,56.5389,
134217728,344,0.885683,0.724828,38.8191,7.98984,57.4339,
134217728,352,0.881038,0.720468,40.0849,7.98582,58.81,
134217728,360,0.887163,0.716804,40.6408,7.95851,59.3995,
134217728,368,0.889178,0.711585,41.1621,7.94353,60.6825,
134217728,376,0.882335,0.714552,41.3883,7.92661,60.7105,
134217728,384,0.891444,0.711526,42.375,7.91739,61.6677,
134217728,392,0.885839,0.7103,43.4069,7.89739,62.9412,
134217728,400,0.892311,0.709622,44.6492,7.89545,64.9448,
134217728,408,0.887314,0.705459,45.4965,7.87619,65.2978,
134217728,416,0.887935,0.702135,45.852,7.86653,66.2595,
134217728,424,0.896458,0.698634,45.7916,7.85072,66.07,
134217728,432,0.888625,0.696986,46.364,7.84082,67.1223,
134217728,440,0.888355,0.692524,46.5143,7.82546,67.6284,
134217728,448,0.882596,0.689834,47.0598,7.81027,67.1166,
134217728,456,0.88909,0.686411,47.7087,7.80444,68.4581,
134217728,464,0.884772,0.685174,48.5126,7.7983,68.3453,
134217728,472,0.888785,0.682286,49.6885,7.79012,69.0402,
134217728,480,0.888275,0.680542,50.7018,7.77346,69.8837,
134217728,488,0.888515,0.675835,51.8391,7.76722,70.7737,
134217728,496,0.882979,0.670997,52.8224,7.76645,71.4173,
134217728,504,0.890551,0.667787,54.2013,7.75909,72.6422,
134217728,512,0.407649,0.727068,55.7422,7.75743,74.232,
