N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
33554432,8,0.041056,0.048806,1.51898,1.6925,1.9149,
33554432,16,0.0379784,0.0468863,1.44972,1.63791,1.76133,
33554432,24,0.160676,0.0414906,1.44841,1.63034,1.80102,
33554432,32,0.0335682,0.0400562,1.50774,1.72639,1.85766,
33554432,40,0.157166,0.0406427,1.52587,1.70512,1.95191,
33554432,48,0.155021,0.0398713,1.57592,1.68219,2.13522,
33554432,56,0.156982,0.0416301,1.57609,1.67389,2.23232,
33554432,64,0.0334132,0.041258,1.7149,1.74115,2.43292,
33554432,72,0.156406,0.0427932,1.68047,1.65659,2.42844,
33554432,80,0.155359,0.0383834,1.80955,1.70818,2.64738,
33554432,88,0.156075,0.0381438,1.86835,1.7081,2.76324,
33554432,96,0.153631,0.0379673,1.96117,1.72459,2.90337,
33554432,104,0.154535,0.0389163,1.98924,1.76253,2.97734,
33554432,112,0.152724,0.0381608,2.0447,1.77934,3.10598,
33554432,120,0.156898,0.0379488,2.13494,1.8234,3.24403,
33554432,128,0.0304439,0.0377063,2.18948,1.87812,3.31661,
33554432,136,0.157519,0.0371734,2.28132,1.87258,3.47827,
33554432,144,0.15681,0.0380814,2.36095,1.86386,3.59291,
33554432,152,0.156108,0.0380121,2.40977,1.8986,3.65393,
33554432,160,0.155406,0.0380465,2.5026,1.96282,3.79085,
33554432,168,0.156854,0.0385378,2.57144,1.94305,3.82509,
33554432,176,0.15489,0.054391,2.59482,1.93429,3.87415,
33554432,184,0.155912,0.0393894,2.65637,1.9357,3.94205,
33554432,192,0.15596,0.0385777,2.72578,1.94905,3.90909,
33554432,200,0.158001,0.0385751,2.81165,1.96536,4.03763,
33554432,208,0.160576,0.0401425,2.8615,1.99381,4.10346,
33554432,216,0.157913,0.0388681,2.95505,2.02346,4.20115,
33554432,224,0.156192,0.0395397,3.00301,2.09871,4.27267,
33554432,232,0.155468,0.0390365,3.06004,2.0578,4.33132,
33554432,240,0.155718,0.0400211,3.07868,2.07307,4.38684,
33554432,248,0.154588,0.0396116,3.1365,2.08949,4.49018,
33554432,256,0.0328122,0.0405178,3.00682,2.10169,4.38561,
33554432,264,0.156259,0.0404974,3.24967,2.10649,4.63157,
33554432,272,0.15941,0.0401762,3.26644,2.10743,4.67347,
33554432,280,0.158478,0.0405506,3.27123,2.11279,4.74852,
33554432,288,0.157442,0.0409573,3.28904,2.12359,4.80795,
33554432,296,0.158978,0.0475032,3.34671,2.11715,4.88544,
33554432,304,0.158242,0.041771,3.41115,2.12692,4.92068,
33554432,312,0.157828,0.0422427,3.47678,2.14216,5.01713,
33554432,320,0.155792,0.0434842,3.49564,2.17049,5.04061,
33554432,328,0.156616,0.0369008,3.62069,2.17232,5.1712,
33554432,336,0.156803,0.036767,3.5744,2.15113,5.22855,
33554432,344,0.157496,0.0391353,3.61358,2.14922,5.27048,
33554432,352,0.157926,0.0381405,3.56319,2.17434,5.37443,
33554432,360,0.157292,0.0375533,3.57811,2.16701,5.42181,
33554432,368,0.158892,0.0364484,3.5829,2.17522,5.49527,
33554432,376,0.155563,0.0376336,3.6311,2.18757,5.57353,
33554432,384,0.158338,0.0374458,3.56987,2.20823,5.61103,
33554432,392,0.155672,0.0366058,3.66153,2.215,5.74223,
33554432,400,0.157228,0.0361572,3.66095,2.21877,5.80495,
33554432,408,0.157159,0.0365539,3.68172,2.22603,5.89029,
33554432,416,0.155702,0.0372883,3.68929,2.22591,5.90933,
33554432,424,0.159023,0.0365453,3.73426,2.21789,6.03978,
33554432,432,0.158104,0.0369724,3.75309,2.22466,6.08632,
33554432,440,0.157665,0.036667,3.80153,2.22914,6.26212,
33554432,448,0.158606,0.0368359,3.79259,2.23003,6.22291,
33554432,456,0.158728,0.0370328,3.85999,2.27515,6.39321,
33554432,464,0.156292,0.0364398,3.88777,2.25726,6.39685,
33554432,472,0.159046,0.0366236,3.90408,2.25071,6.49259,
33554432,480,0.15724,0.0380757,3.9078,2.26018,6.5258,
33554432,488,0.157359,0.0361652,3.99797,2.32052,6.66679,
33554432,496,0.157583,0.0386291,3.99367,2.26484,6.71153,
33554432,504,0.156633,0.0361293,4.05414,2.2955,6.85463,
33554432,512,0.0296417,0.0360374,3.83789,2.3118,6.45344,
