N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
33554432,8,0.0490305,0.0657066,2.45613,2.76448,3.42753,
33554432,16,0.0442328,0.0599191,2.29687,2.73043,2.84792,
33554432,24,0.168575,0.0573995,2.32971,2.72006,2.71367,
33554432,32,0.0445392,0.0565731,2.28768,2.85226,2.60873,
33554432,40,0.163179,0.0584388,2.21124,2.81074,2.57266,
33554432,48,0.16385,0.0542388,2.27546,2.7714,2.63038,
33554432,56,0.16499,0.0540376,2.44382,2.94631,2.71465,
33554432,64,0.0384265,0.0525674,2.40716,2.80637,3.19163,
33554432,72,0.174386,0.0514181,2.48038,2.81591,3.30407,
33554432,80,0.162327,0.0565599,2.5377,2.76746,3.44093,
33554432,88,0.161022,0.0536531,2.61064,2.78922,3.55884,
33554432,96,0.16197,0.0554175,2.68367,2.75507,3.63389,
33554432,104,0.16089,0.0556809,2.81322,2.88384,3.74649,
33554432,112,0.162681,0.0551063,2.89319,2.91986,3.8287,
33554432,120,0.17112,0.0533652,3.10116,3.43287,4.18606,
33554432,128,0.0387507,0.0529378,3.09615,3.03921,4.2369,
33554432,136,0.164596,0.0539137,3.18251,3.05963,4.27078,
33554432,144,0.164051,0.0540689,3.31009,3.05095,4.37041,
33554432,152,0.1647,0.0541405,3.36665,3.06795,4.48762,
33554432,160,0.174557,0.0528131,3.43463,3.1103,4.54343,
33554432,168,0.174043,0.0536094,3.47672,3.10884,4.66494,
33554432,176,0.164027,0.0525766,3.58016,3.1449,4.75769,
33554432,184,0.163315,0.053622,3.65921,3.1484,4.80093,
33554432,192,0.165259,0.0565578,3.73774,3.16712,4.86998,
33554432,200,0.16509,0.0534964,3.80945,3.19758,5.04698,
33554432,208,0.163601,0.052501,3.87243,3.2664,4.96154,
33554432,216,0.165616,0.0561855,3.93748,3.26315,5.04558,
33554432,224,0.165188,0.0530736,4.00031,3.28351,5.07958,
33554432,232,0.164993,0.0518494,4.04583,3.27428,5.18507,
33554432,240,0.169012,0.0526476,4.10958,3.34328,5.20847,
33554432,248,0.164229,0.0517177,4.19526,3.31922,5.32921,
33554432,256,0.0389046,0.0528617,3.88571,3.37254,5.30926,
33554432,264,0.168031,0.0512037,4.21727,3.32926,5.55101,
33554432,272,0.166386,0.0509545,4.25657,3.37689,5.57382,
33554432,280,0.167116,0.0515496,4.2805,3.36431,5.6505,
33554432,288,0.166018,0.0509601,4.27046,3.39885,5.69404,
33554432,296,0.168171,0.0561147,4.34352,3.37094,5.82049,
33554432,304,0.164076,0.0514405,4.32579,3.34963,5.86007,
33554432,312,0.171781,0.0509084,4.40385,3.39764,5.98182,
33554432,320,0.163489,0.0499319,4.39489,3.39756,6.11844,
33554432,328,0.164149,0.0528764,4.47187,3.39154,6.177,
33554432,336,0.162607,0.052454,4.42771,3.41402,6.22383,
33554432,344,0.167919,0.0549694,4.46114,3.40372,6.30436,
33554432,352,0.164682,0.0546125,4.41953,3.43693,6.34407,
33554432,360,0.174278,0.0537214,4.46722,3.4507,6.46263,
33554432,368,0.175556,0.0530102,4.43744,3.46736,6.50494,
33554432,376,0.1622,0.0525373,4.45947,3.46231,6.63207,
33554432,384,0.163866,0.0545014,4.30804,3.49756,6.64522,
33554432,392,0.171876,0.0529332,4.48799,3.45262,6.95258,
33554432,400,0.165649,0.0526894,4.45861,3.46014,6.88983,
33554432,408,0.164533,0.0534783,4.49748,3.50998,6.96014,
33554432,416,0.164029,0.0535343,4.50907,3.50157,7.02515,
33554432,424,0.163942,0.0536921,4.54352,3.54528,7.14545,
33554432,432,0.173754,0.0545602,4.54035,3.60351,7.19613,
33554432,440,0.174237,0.0539058,4.57358,3.56475,7.30985,
33554432,448,0.172925,0.0534773,4.55836,3.60542,7.43768,
33554432,456,0.169862,0.0536376,4.63203,3.63699,7.48768,
33554432,464,0.171717,0.0541043,4.63734,3.6436,7.55947,
33554432,472,0.163692,0.0533765,4.74155,3.62213,7.68411,
33554432,480,0.164583,0.053179,4.6805,3.63119,7.72856,
33554432,488,0.164184,0.0546748,4.73673,3.6701,7.83213,
33554432,496,0.165291,0.0548184,4.73717,3.68932,7.90837,
33554432,504,0.176629,0.0533696,4.79929,3.69221,8.0148,
33554432,512,0.0382621,0.0533295,4.44316,3.66447,7.87117,
