N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
67108864,8,0.167137,0.1222,1.11797,1.28414,1.89704,
67108864,16,0.12518,0.110248,1.13081,1.20272,1.70424,
67108864,24,0.33948,0.104581,1.21247,1.15464,1.66867,
67108864,32,0.156391,0.103297,1.42812,1.14185,1.85693,
67108864,40,0.331494,0.105622,1.53982,1.07803,1.9077,
67108864,48,0.328322,0.10115,1.55856,1.1097,2.10916,
67108864,56,0.340005,0.10167,1.69989,1.11621,2.26843,
67108864,64,0.107174,0.105236,1.84314,1.14758,2.45865,
67108864,72,0.377009,0.101643,2.13573,1.11893,2.70707,
67108864,80,0.403594,0.104751,2.39739,1.10539,2.80926,
67108864,88,0.442699,0.102132,2.60851,1.03202,2.93978,
67108864,96,0.314961,0.0981565,2.62,1.0515,3.09192,
67108864,104,0.315043,0.0981748,2.56206,1.06835,3.12724,
67108864,112,0.316242,0.0980891,2.55885,1.08006,3.25859,
67108864,120,0.325454,0.0984199,2.55343,1.10777,3.38199,
67108864,128,0.0716131,0.0991761,2.60782,1.12687,3.58288,
67108864,136,0.320457,0.1173,2.60835,1.11831,3.73042,
67108864,144,0.322638,0.0995264,2.68418,1.1148,3.90422,
67108864,152,0.322391,0.0995772,2.78052,1.11689,4.10471,
67108864,160,0.321989,0.101823,2.8315,1.12088,4.34383,
67108864,168,0.325655,0.102145,2.96751,1.13342,4.57261,
67108864,176,0.325579,0.100893,2.99776,1.13573,4.73501,
67108864,184,0.327797,0.101149,3.1873,1.14686,5.03908,
67108864,192,0.330486,0.103714,3.26116,1.15096,5.19834,
67108864,200,0.329341,0.100758,3.27066,1.15491,5.30521,
67108864,208,0.332473,0.101334,3.37598,1.16689,5.48314,
67108864,216,0.335853,0.104319,3.59266,1.16691,5.71995,
67108864,224,0.336926,0.102333,3.72097,1.19369,5.90712,
67108864,232,0.340282,0.101583,3.88847,1.20601,6.15139,
67108864,240,0.345312,0.101835,3.83273,1.20013,6.22433,
67108864,248,0.346153,0.102149,3.85664,1.20881,6.36843,
67108864,256,0.103801,0.0998691,3.98206,1.21781,6.68828,
67108864,264,0.351797,0.0999773,4.16029,1.21421,6.75784,
67108864,272,0.356732,0.105851,4.39498,1.21576,6.79376,
67108864,280,0.361044,0.106166,4.55922,1.20942,6.97207,
67108864,288,0.364484,0.105174,4.7358,1.21151,7.22167,
67108864,296,0.369837,0.100441,4.91517,1.19793,7.46118,
67108864,304,0.376137,0.103491,5.09813,1.19889,7.77907,
67108864,312,0.379107,0.100087,5.27968,1.19526,8.12856,
67108864,320,0.382253,0.106882,5.45275,1.18891,8.41505,
67108864,328,0.390245,0.103248,5.62086,1.18126,8.3182,
67108864,336,0.39525,0.103576,5.78126,1.18224,8.03573,
67108864,344,0.399904,0.107657,5.96903,1.18494,8.08881,
67108864,352,0.40613,0.102364,6.12978,1.18647,8.16004,
67108864,360,0.414766,0.10176,6.26705,1.19031,8.22609,
67108864,368,0.418377,0.103456,6.45216,1.19053,8.36611,
67108864,376,0.425904,0.101257,6.61004,1.15996,8.42791,
67108864,384,0.441737,0.100399,6.73494,1.13053,8.57832,
67108864,392,0.440929,0.104583,6.90212,1.0991,8.73098,
67108864,400,0.444821,0.10308,7.05416,1.06817,8.91849,
67108864,408,0.314546,0.0957091,7.15722,1.21496,9.07317,
67108864,416,0.312707,0.0965204,7.10386,1.06109,9.10631,
67108864,424,0.312475,0.0960527,7.06725,1.06487,9.21842,
67108864,432,0.316208,0.0955947,7.06886,1.06821,9.22898,
67108864,440,0.312645,0.0956172,7.00829,1.07042,9.31413,
67108864,448,0.315377,0.096087,7.00156,1.07798,9.40359,
67108864,456,0.313847,0.0955884,6.99225,1.08143,9.48578,
67108864,464,0.31492,0.0954705,6.96168,1.08845,9.57131,
67108864,472,0.313607,0.0952569,6.98789,1.08218,9.63874,
67108864,480,0.314912,0.0952773,6.94219,1.08345,9.71909,
67108864,488,0.312979,0.0954091,6.93089,1.08992,9.7941,
67108864,496,0.314227,0.0961354,6.94308,1.0932,9.866,
67108864,504,0.314823,0.0950777,6.94592,1.09351,9.96619,
67108864,512,0.067528,0.0947276,6.95051,1.10436,10.3027,
