N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
67108864,8,0.154201,0.087492,0.88006,0.948825,1.16466,
67108864,16,0.124921,0.0832424,0.959242,0.876038,1.16383,
67108864,24,0.327292,0.0772984,1.05386,0.839057,1.25267,
67108864,32,0.153386,0.0759209,1.20595,0.841415,1.43735,
67108864,40,0.308336,0.0738278,1.31352,0.777748,1.51905,
67108864,48,0.312742,0.0737192,1.3903,0.793078,1.67367,
67108864,56,0.324042,0.0748983,1.50255,0.79531,1.8212,
67108864,64,0.0953172,0.0779192,1.63765,0.817947,1.98556,
67108864,72,0.368675,0.0770964,1.81332,0.789616,2.09225,
67108864,80,0.397599,0.0772945,1.91865,0.786211,2.21585,
67108864,88,0.441172,0.0743607,1.99413,0.763195,2.31902,
67108864,96,0.299544,0.0707282,2.04091,0.740365,2.39348,
67108864,104,0.301424,0.0705571,2.06452,0.746726,2.48451,
67108864,112,0.303634,0.0708938,2.14428,0.755766,2.64226,
67108864,120,0.303787,0.0718202,2.20216,0.766975,2.79954,
67108864,128,0.0550099,0.0699652,2.21677,0.767914,2.92114,
67108864,136,0.30623,0.07233,2.28149,0.77358,3.06215,
67108864,144,0.305597,0.0714607,2.35637,0.761982,3.23947,
67108864,152,0.311006,0.0719836,2.4695,0.771435,3.45919,
67108864,160,0.310255,0.0720576,2.54354,0.784305,3.56301,
67108864,168,0.310957,0.0726751,2.63986,0.774038,3.71094,
67108864,176,0.311431,0.0813517,2.75604,0.773745,3.8559,
67108864,184,0.315953,0.0723744,2.87099,0.78939,3.97064,
67108864,192,0.317814,0.0736697,2.97248,0.781614,4.1497,
67108864,200,0.31665,0.0728355,3.03636,0.794204,4.24443,
67108864,208,0.320594,0.0730618,3.11412,0.803172,4.3453,
67108864,216,0.322613,0.0727747,3.29337,0.795727,4.52181,
67108864,224,0.326529,0.0728378,3.41368,0.804593,4.64778,
67108864,232,0.330039,0.0774,3.60192,0.811873,4.78457,
67108864,240,0.331019,0.0737381,3.67472,0.825059,4.99035,
67108864,248,0.33551,0.0733433,3.78237,0.819781,5.12894,
67108864,256,0.0911767,0.0725554,3.78891,0.843959,5.29986,
67108864,264,0.340563,0.0751266,3.89541,0.836328,5.35093,
67108864,272,0.346301,0.073545,4.01262,0.818337,5.5124,
67108864,280,0.351006,0.0734089,4.15057,0.831654,5.59146,
67108864,288,0.352522,0.072786,4.37247,0.836226,5.70518,
67108864,296,0.363,0.07447,4.46127,0.830402,6.00022,
67108864,304,0.370875,0.077794,4.56662,0.814346,5.85308,
67108864,312,0.371334,0.0743098,4.75695,0.798746,5.93507,
67108864,320,0.376567,0.0801273,4.72147,0.800524,6.25068,
67108864,328,0.380555,0.07402,4.70252,0.786397,6.15259,
67108864,336,0.386731,0.0795089,5.03295,0.795337,6.24591,
67108864,344,0.392925,0.0724643,5.20107,0.793732,6.28446,
67108864,352,0.405578,0.0822292,5.00058,0.799876,6.30163,
67108864,360,0.406615,0.0771117,5.37978,0.789448,6.3739,
67108864,368,0.414066,0.0794239,5.15755,0.803619,6.45115,
67108864,376,0.422064,0.0784699,5.40476,0.791374,6.63225,
67108864,384,0.435005,0.0757784,5.3995,0.792824,6.63183,
67108864,392,0.431889,0.0778212,5.54114,0.782194,6.83973,
67108864,400,0.446455,0.0804399,5.72702,0.749968,6.8021,
67108864,408,0.300313,0.07004,5.88972,0.746451,6.97929,
67108864,416,0.30137,0.0696439,5.91807,0.733577,7.07333,
67108864,424,0.300472,0.0709437,5.98049,0.749357,7.13323,
67108864,432,0.302991,0.0702191,6.03935,0.744742,7.26104,
67108864,440,0.300836,0.0862528,5.9006,0.739957,7.22563,
67108864,448,0.299744,0.069456,5.82606,0.73996,7.3314,
67108864,456,0.301836,0.068496,5.91703,0.742923,7.33897,
67108864,464,0.29879,0.0687427,5.95602,0.752146,7.43344,
67108864,472,0.29754,0.0699449,5.96378,0.761768,7.47755,
67108864,480,0.304956,0.0712576,6.24042,0.753741,7.64529,
67108864,488,0.300227,0.0689938,6.00825,0.754298,7.66808,
67108864,496,0.30688,0.069235,6.0422,0.746911,7.70391,
67108864,504,0.300783,0.0696968,6.13371,0.76977,7.85261,
67108864,512,0.0534024,0.0858018,6.11487,0.752617,7.92744,
