N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
33554432,8,0.132718,0.228861,2.29583,2.29835,3.36764,
33554432,16,0.123793,0.197974,2.33516,2.11063,3.14724,
33554432,24,0.23278,0.201345,2.48089,2.04846,3.19014,
33554432,32,0.111574,0.202535,2.73778,1.95581,3.29812,
33554432,40,0.22809,0.207818,2.92045,1.94936,3.64374,
33554432,48,0.22879,0.203196,3.2115,1.9546,4.00482,
33554432,56,0.227892,0.194221,3.45575,1.9515,4.37346,
33554432,64,0.101632,0.187871,3.7419,1.94834,4.62822,
33554432,72,0.230805,0.181348,3.93112,1.84787,4.86497,
33554432,80,0.225017,0.200675,4.13644,1.82546,5.03423,
33554432,88,0.226159,0.200462,4.16754,1.85677,5.55314,
33554432,96,0.222939,0.199504,4.22426,1.89021,5.58373,
33554432,104,0.227107,0.200009,4.35386,1.92039,5.9283,
33554432,112,0.227276,0.198169,4.48382,1.9513,6.20728,
33554432,120,0.225749,0.198287,4.64689,1.97836,6.52437,
33554432,128,0.105766,0.196252,4.82489,2.00879,6.90927,
33554432,136,0.229042,0.19748,4.98861,1.99083,7.32483,
33554432,144,0.226585,0.19679,5.17614,1.98166,7.61977,
33554432,152,0.226276,0.196427,5.33944,1.96853,7.93543,
33554432,160,0.225018,0.194943,5.54763,1.97016,8.40135,
33554432,168,0.2265,0.19522,5.75024,1.97843,8.83461,
33554432,176,0.225516,0.19408,5.92452,1.98491,9.27142,
33554432,184,0.223225,0.193385,6.06896,1.98481,9.44623,
33554432,192,0.225421,0.192215,6.268,1.98877,9.74433,
33554432,200,0.22342,0.19206,6.47693,2.004,10.0806,
33554432,208,0.232116,0.191741,6.63582,2.00613,10.3309,
33554432,216,0.223234,0.190927,6.8104,2.01034,10.6753,
33554432,224,0.224876,0.189201,7.11156,2.01585,10.9412,
33554432,232,0.228767,0.189471,7.17937,2.02687,11.107,
33554432,240,0.226799,0.188572,7.32029,2.0241,11.3216,
33554432,248,0.224138,0.187445,7.59053,2.02455,11.5966,
33554432,256,0.0982299,0.184575,7.9092,2.03138,12.061,
33554432,264,0.223111,0.1848,7.95266,2.00714,12.1363,
33554432,272,0.223811,0.184184,7.99784,1.98064,12.2367,
33554432,280,0.225355,0.183178,8.11441,1.95071,12.3371,
33554432,288,0.229854,0.182226,8.28215,1.93047,12.5415,
33554432,296,0.224003,0.180586,8.49154,1.90321,12.681,
33554432,304,0.223685,0.179542,8.75036,1.88404,12.8754,
33554432,312,0.223888,0.178005,9.06179,1.86783,13.0732,
33554432,320,0.226707,0.176251,9.45043,1.84669,13.2854,
33554432,328,0.22601,0.201161,9.54463,1.84834,13.4686,
33554432,336,0.223817,0.194987,9.59312,1.84924,13.7573,
33554432,344,0.222718,0.200323,9.57979,1.85644,13.836,
33554432,352,0.226161,0.195321,9.60097,1.8582,13.9925,
33554432,360,0.221331,0.194857,9.64804,1.86062,14.1809,
33554432,368,0.222644,0.194844,9.68273,1.86453,14.3583,
33554432,376,0.221715,0.194693,9.73441,1.87286,14.5962,
33554432,384,0.222278,0.195243,9.78132,1.87613,14.7991,
33554432,392,0.226383,0.194844,9.8478,1.89495,14.9526,
33554432,400,0.223173,0.194186,9.90286,1.90022,15.3061,
33554432,408,0.222729,0.194214,9.96897,1.90192,15.3839,
33554432,416,0.222167,0.194869,10.0438,1.90678,15.6673,
33554432,424,0.224603,0.19444,10.1171,1.91118,15.8176,
33554432,432,0.227836,0.195366,10.2028,1.91744,16.0363,
33554432,440,0.223695,0.194713,10.2873,1.92118,16.3147,
33554432,448,0.233662,0.194578,10.3606,1.92627,16.6653,
33554432,456,0.224756,0.194792,10.4734,1.93367,16.6694,
33554432,464,0.224515,0.194717,10.5299,1.94231,16.9025,
33554432,472,0.227339,0.194779,10.6495,1.94337,17.1092,
33554432,480,0.224005,0.194794,10.7083,1.95296,17.348,
33554432,488,0.223705,0.194583,10.809,1.96027,17.6676,
33554432,496,0.226678,0.200659,10.9543,1.97191,17.8268,
33554432,504,0.223697,0.19431,11.0058,1.97741,17.9755,
33554432,512,0.117772,0.190833,11.1004,1.98263,18.3587,
