N,node size,build horizontal(s),build vertical(s),seq search(s),binary search(s), simd search(s)
67108864,8,0.260925,0.438174,4.49737,4.52054,6.72366,
67108864,16,0.23536,0.413312,4.58914,4.18864,6.22421,
67108864,24,0.470645,0.396053,4.88019,4.00906,6.21181,
67108864,32,0.223322,0.368675,5.60313,3.8899,6.73664,
67108864,40,0.460112,0.401702,5.88057,3.75341,7.12247,
67108864,48,0.458625,0.381566,6.46737,3.79671,7.71129,
67108864,56,0.459703,0.376008,6.93482,3.79302,8.30929,
67108864,64,0.203128,0.369042,7.31955,3.81891,8.87913,
67108864,72,0.457769,0.365034,7.75036,3.70443,9.48883,
67108864,80,0.448377,0.360314,8.34247,3.62321,9.8656,
67108864,88,0.449951,0.348843,8.81433,3.53789,10.3312,
67108864,96,0.445947,0.382486,9.21053,3.55802,10.8242,
67108864,104,0.450496,0.384438,9.281,3.59763,11.1716,
67108864,112,0.451006,0.382116,9.43398,3.65172,11.6682,
67108864,120,0.45034,0.381116,9.5961,3.71872,12.2711,
67108864,128,0.200306,0.377057,9.64529,3.78423,12.9226,
67108864,136,0.451038,0.377647,9.97927,3.77164,13.421,
67108864,144,0.449717,0.37889,10.36,3.74811,14.0197,
67108864,152,0.452067,0.375717,10.6143,3.75717,14.648,
67108864,160,0.445238,0.374321,11.0342,3.76894,15.5918,
67108864,168,0.454933,0.376172,11.3254,3.7863,16.3553,
67108864,176,0.44278,0.374502,11.7467,3.81263,17.0214,
67108864,184,0.44462,0.374782,12.1036,3.82081,17.5388,
67108864,192,0.44534,0.370827,12.3303,3.83913,18.0369,
67108864,200,0.443442,0.372626,12.8162,3.86456,18.5771,
67108864,208,0.44455,0.371409,13.1706,3.89738,19.2804,
67108864,216,0.443282,0.369479,13.4148,3.90667,19.8942,
67108864,224,0.447939,0.368984,14.0201,3.92589,20.4494,
67108864,232,0.445175,0.368638,14.1423,3.95605,20.9544,
67108864,240,0.443865,0.366394,14.7011,3.97793,21.3441,
67108864,248,0.445521,0.366108,14.8386,3.99498,21.8358,
67108864,256,0.194155,0.361094,15.4283,4.03627,22.9647,
67108864,264,0.444404,0.363213,15.6876,4.00335,22.9257,
67108864,272,0.444646,0.362392,16.0412,3.97772,23.6169,
67108864,280,0.447059,0.360974,16.6684,3.95188,23.9102,
67108864,288,0.442936,0.359363,16.7046,3.92905,24.3637,
67108864,296,0.445918,0.358836,16.8946,3.9249,25.0521,
67108864,304,0.447663,0.357654,17.3799,3.86338,25.2078,
67108864,312,0.453285,0.356865,17.8218,3.84527,25.5449,
67108864,320,0.444572,0.355121,18.4073,3.79621,26.4559,
67108864,328,0.444318,0.352071,18.624,3.80204,27.0163,
67108864,336,0.44583,0.351023,18.7508,3.78573,26.9538,
67108864,344,0.446329,0.348258,19.0069,3.76402,26.9959,
67108864,352,0.441669,0.34683,19.104,3.75502,27.5276,
67108864,360,0.445086,0.346661,19.5435,3.73396,27.3995,
67108864,368,0.445684,0.343014,19.9271,3.71743,27.8704,
67108864,376,0.446286,0.342588,20.3886,3.71084,28.1029,
67108864,384,0.449918,0.33374,20.7741,3.69156,28.488,
67108864,392,0.443946,0.337655,21.3706,3.71936,29.2091,
67108864,400,0.44861,0.336305,22.2066,3.67305,29.5603,
67108864,408,0.443197,0.373595,22.7496,3.66584,29.8331,
67108864,416,0.440963,0.372493,22.6387,3.6813,30.0526,
67108864,424,0.443137,0.373403,22.6501,3.69124,30.2965,
67108864,432,0.448329,0.372442,22.6753,3.69588,30.6205,
67108864,440,0.443231,0.37287,22.7604,3.70917,30.9731,
67108864,448,0.441147,0.370517,22.7883,3.72276,31.2851,
67108864,456,0.442745,0.37127,23.0221,3.74027,31.6159,
67108864,464,0.447398,0.37172,23.0836,3.75675,31.8439,
67108864,472,0.44464,0.370887,23.0328,3.7672,32.4776,
67108864,480,0.445958,0.371087,23.2657,3.77956,32.4848,
67108864,488,0.441599,0.370748,23.2314,3.80096,33.106,
67108864,496,0.440506,0.3711,23.3637,3.81745,33.3324,
67108864,504,0.444376,0.372555,23.6104,3.84051,33.6369,
67108864,512,0.203972,0.363715,23.6247,3.86404,34.3752,
